jh	N	ঝণ	0
jh	t	ঝত	0
jh	th	ঝথ	0
jh	d	ঝদ	0
jh	dh	ঝধ	0
jh	n	ঝন	0
jh	p	ঝপ	0
jh	f	ঝফ	0
jh	ph	ঝফ	0
jh	b	ঝব	0
jh	v	ঝভ	0
jh	bh	ঝভ	0
jh	m	ঝম	0
jh	z	ঝয	0
jh	r	ঝ্র	1
jh	l	ঝল	0
jh	Sh	ঝষ	0
jh	sh	ঝশ	0
jh	s	ঝস	0
jh	h	ঝহ	0
jh	y	ঝ্য	1
T	k	টক	0
T	kh	টখ	0
T	g	টগ	0
T	gh	টঘ	0
T	c	টচ	0
T	ch	টছ	0
T	j	টজ	0
T	jh	টঝ	0
T	T	ট্ট	1
T	Th	ট্টহ	1
T	D	টড	0
T	Dh	টঢ	0
T	N	টণ	0
T	t	টত	0
T	th	টথ	0
T	d	টদ	0
T	dh	টধ	0
T	n	টন	0
T	p	টপ	0
T	f	টফ	0
T	ph	টফ	0
T	b	টব	0
T	v	টভ	0
T	bh	টভ	0
T	m	ট্ম	1
T	z	টয	0
T	r	ট্র	1
T	l	টল	0
T	Sh	টষ	0
T	sh	টশ	0
T	s	টস	0
T	h	ঠ	0
T	y	ট্য	1
Th	k	ঠক	0
Th	kh	ঠখ	0
Th	g	ঠগ	0
Th	gh	ঠঘ	0
Th	c	ঠচ	0
Th	ch	ঠছ	0
Th	j	ঠজ	0
Th	jh	ঠঝ	0
Th	T	ঠট	0
Th	Th	ঠঠ	0
Th	D	ঠড	0
Th	Dh	ঠঢ	0
Th	N	ঠণ	0
Th	t	ঠত	0
Th	th	ঠথ	0
Th	d	ঠদ	0
Th	dh	ঠধ	0
Th	n	ঠন	0
Th	p	ঠপ	0
Th	f	ঠফ	0
Th	ph	ঠফ	0
Th	b	ঠব	0
Th	v	ঠভ	0
Th	bh	ঠভ	0
Th	m	ঠম	0
Th	z	ঠয	0
Th	r	ঠ্র	1
Th	l	ঠল	0
Th	Sh	ঠষ	0
Th	sh	ঠশ	0
Th	s	ঠস	0
Th	h	ঠহ	0
Th	y	ঠ্য	1
D	k	ডক	0
D	kh	ডখ	0
D	g	ডগ	0
D	gh	ডঘ	0
D	c	ডচ	0
D	ch	ডছ	0
D	j	ডজ	0
D	jh	ডঝ	0
D	T	ডট	0
D	Th	ডঠ	0
D	D	ড্ড	1
D	Dh	ড্ডহ	1
